City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,pervomayskiy,53.2485,40.2871,-16.31,99,65,2.02,RU,1709763833
147,kuopio,62.8924,27.677,-2.03,90,100,4.12,FI,1709763834
148,victorica,-36.2151,-65.4359,31.33,32,6,2.98,AR,1709763834
149,idfu,24.9803,32.8747,20.07,31,1,5.0,EG,1709763835
150,happy valley-goose bay,53.3168,-60.3315,-6.83,49,20,4.63,CA,1709763835
151,klyuchi,52.2667,79.1667,-10.43,92,78,4.27,RU,1709763835
152,chipata,-13.6333,32.65,19.53,96,100,1.33,ZM,1709763836
153,sao borja,-28.6606,-56.0044,22.19,48,2,3.19,BR,1709763837
154,enewetak,11.3474,162.3373,25.88,79,85,10.45,MH,1709763837
155,tura,25.5198,90.2201,14.98,24,0,1.58,IN,1709763839
156,port mathurin,-19.6833,63.4167,26.37,74,76,9.55,MU,1709763839
157,kresttsy,58.2452,32.5165,-2.31,91,74,1.7,RU,1709763840
158,punta arenas,-53.15,-70.9167,11.06,58,75,1.03,CL,1709763841
159,selfoss,63.9331,-20.9971,5.58,90,100,7.63,IS,1709763841
160,pujehun,7.3581,-11.7208,26.42,78,6,2.51,SL,1709763842
161,hamilton,39.1834,-84.5333,10.69,92,100,5.66,US,1709763843
162,hobyo,5.3505,48.5268,27.5,82,1,4.89,SO,1709763845
163,kotlas,61.2611,46.6556,-2.75,97,100,1.34,RU,1709763846
164,pariaman,-0.619,100.12,26.03,93,100,2.07,ID,1709763846
165,soe,-9.8607,124.284,20.24,92,99,1.23,ID,1709763847
166,bayanhongor,46.7167,100.1167,-24.77,72,3,1.7,MN,1709763847
167,fort bragg,35.139,-79.006,16.75,92,100,1.54,US,1709763848
168,liwale,-9.7667,37.9333,20.67,98,3,0.88,TZ,1709763849
169,oranjemund,-28.55,16.4333,16.28,80,2,0.88,NA,1709763850
170,nemuro,43.3236,145.575,-3.72,69,4,6.19,JP,1709763851
171,bardai,11.65,7.2333,31.57,14,98,1.91,NG,1709763851
172,dunedin,-45.8742,170.5036,16.41,52,57,1.05,NZ,1709763852
173,tremp,42.167,0.8949,6.95,62,40,1.8,ES,1709763853
174,fougamou,-1.2154,10.5838,22.95,99,98,0.27,GA,1709763853
175,plastun,44.7561,136.2939,-9.44,72,1,2.66,RU,1709763854
176,georgetown,5.4112,100.3354,27.96,88,40,1.54,MY,1709763557
177,vilyuysk,63.7553,121.6247,-30.0,100,100,1.34,RU,1709763855
178,hithadhoo,-0.6,73.0833,27.9,70,100,4.45,MV,1709763856
179,cabo san lucas,22.8909,-109.9124,27.17,29,75,7.2,MX,1709763764
180,magadi,12.9667,77.2333,23.09,44,56,2.46,IN,1709763858
181,tripoli,32.8752,13.1875,14.9,62,100,2.42,LY,1709763858
182,manokwari,-0.8667,134.0833,26.54,82,95,1.58,ID,1709763859
183,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,91,0,5.81,RU,1709763859
184,bereeda,11.8704,51.0579,25.97,81,43,3.64,SO,1709763860
185,quibdo,5.6947,-76.6611,30.19,79,75,1.54,CO,1709763860
186,saint-francois,46.4154,3.9054,1.47,94,0,0.0,FR,1709763795
187,kapa'a,22.0752,-159.319,27.99,61,20,9.26,US,1709763861
188,uturoa,-16.7333,-151.4333,26.96,80,100,4.2,PF,1709763862
189,kokstad,-30.5472,29.4241,14.87,89,100,1.47,ZA,1709763863
190,zyryanskoye,56.8306,86.6258,-6.53,92,100,4.51,RU,1709763863
191,multan,30.1956,71.4753,12.94,71,40,0.0,PK,1709763864
192,vorkuta,67.5,64.0,-15.94,96,100,7.14,RU,1709763700
193,nuuk,64.1835,-51.7216,-9.66,79,75,6.69,GL,1709763865
194,kerema,-7.9631,145.7785,27.29,83,100,1.64,PG,1709763865
195,zaozersk,69.4005,32.4476,2.15,99,100,9.85,RU,1709763866
196,sittwe,20.15,92.9,19.72,48,15,4.54,MM,1709763866
197,churachandpur,24.3333,93.6667,7.82,54,0,0.67,IN,1709763867
198,banff,51.1762,-115.5698,-3.43,50,49,4.12,CA,1709763867
199,zarinsk,53.7074,84.9493,-14.3,95,86,2.13,RU,1709763868
200,baruun-urt,46.6806,113.2792,-19.28,89,39,2.23,MN,1709763868
201,fairmont,39.4851,-80.1426,16.06,95,100,0.45,US,1709763869
202,callao,-12.0667,-77.15,26.16,69,0,7.2,PE,1709763643
203,at taj,24.2049,23.2857,15.36,27,0,5.28,LY,1709763871
204,nkove,-7.95,30.85,22.95,81,96,2.02,TZ,1709763871
205,iwanai,42.9744,140.5089,-2.18,66,100,3.27,JP,1709763872
206,peace river,56.2501,-117.286,-7.83,57,20,2.57,CA,1709763649
207,mount isa,-20.7333,139.5,26.87,69,100,5.14,AU,1709763874
208,alice springs,-23.7,133.8833,27.9,61,40,0.0,AU,1709763875
209,la'ie,21.6477,-157.9253,26.98,73,8,6.71,US,1709763876
210,aasiaat,68.7098,-52.8699,-16.07,94,100,2.73,GL,1709763877
211,fortuna,40.5982,-124.1573,12.03,91,100,5.14,US,1709763877
212,constantia,44.1833,28.65,3.38,71,99,0.78,RO,1709763878
213,coffs harbour,-30.3,153.1333,23.98,64,63,2.57,AU,1709763878
214,rongelap,11.1635,166.8941,26.19,78,100,10.34,MH,1709763878
215,chibougamau,49.9168,-74.3659,-2.21,43,0,2.57,CA,1709763879
